depth_m	age_gas_calBP	age_gas_calBPerr	co2_ppm	co2_1s_ppm	notes
787.85	32307.90		192.47	1.94	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
788.23	32361.20		195.25	0.28	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
788.78	32434.80		194.11	0.53	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
789.26	32511.10		194.61	0.37	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
789.69	32594.60		194.43	0.41	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
790.17	32677.80		195.08	0.29	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
790.40	32714.10		195.94	0.26	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
791.02	32813.10		199.30	2.55	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
791.44	32880.90		196.70	0.80	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
792.22	33009.00		196.33	0.46	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
793.04	33148.30		197.65	0.22	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
793.95	33417.50		196.90	0.54	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
794.22	33491.40		197.13	0.41	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
794.43	33555.30		197.80	0.27	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
795.16	33758.10		200.03	0.69	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
795.38	33841.00		195.63	0.74	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
795.57	33885.70		195.27	0.45	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
795.75	33907.50		194.46	0.66	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
795.91	33925.90		194.47	0.03	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
796.22	33957.00		196.47	0.45	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
796.59	33991.50		195.41	0.33	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
797.34	34064.20		195.93	1.02	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
798.58	34190.30		194.89	0.62	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
799.20	34250.80		195.79	0.76	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
799.81	34312.80		196.27	0.24	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
800.03	34334.40		196.20	0.32	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
802.21	34556.90		199.65	0.74	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
802.70	34602.60		199.49	0.64	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
802.89	34620.00		200.29	0.43	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
803.17	34647.80		198.89	0.98	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
803.82	34710.60		197.16	1.20	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
804.72	34825.60		202.80	0.03	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
805.06	34866.80		203.09	0.48	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
806.90	35089.60		198.78	0.57	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
807.51	35165.80		203.60	0.36	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
808.48	35281.70		205.38	0.10	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
808.90	35337.00		204.47	1.22	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
809.10	35359.40		203.62	0.87	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
809.34	35383.00		201.36	0.26	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
809.90	35445.80		200.30	0.80	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
810.20	35497.10		201.06	1.01	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
810.26	35508.50		202.04	0.90	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
810.38	35530.70		201.89	0.65	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
810.59	35568.00		201.83	0.99	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
811.16	35672.50		201.81	0.24	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
811.36	35701.60		200.50	0.63	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
812.18	35854.60		203.29	1.07	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
812.66	35948.30		198.80	0.37	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
813.41	36086.50		204.12	1.32	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
813.87	36173.10		201.78	0.23	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
814.34	36261.80		200.09	0.63	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
815.68	36506.30		198.96	0.95	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
816.13	36591.80		205.10	1.14	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
816.58	36669.60		203.77	0.16	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
816.85	36712.80		203.75	0.01	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
817.49	36820.20		202.76	1.16	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
818.19	36939.80		203.51	0.23	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
818.69	37023.40		206.36	1.13	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
819.42	37118.60		210.16	0.89	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
819.27	37143.20		207.35	0.16	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
820.33	37296.50		208.25	0.95	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
820.37	37302.00		209.66	0.59	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
820.58	37338.10		206.59	0.12	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
821.14	37431.00		212.51	1.47	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
821.32	37461.30		209.84	0.53	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
822.24	37618.60		214.30	0.40	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
822.41	37647.50		212.14	0.72	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
823.22	37777.20		212.09	1.62	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
823.90	37895.00		214.21	1.09	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
824.51	38000.30		211.21	0.68	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
825.04	38088.50		214.36	1.48	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
825.51	38165.60		208.34	0.59	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
825.66	38192.40		206.52	0.45	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
826.10	38284.20		207.41	0.17	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
826.62	38359.20		208.00	0.67	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
827.00	38412.80		210.79	0.64	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
827.40	38472.90		207.23	0.04	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
827.82	38533.20		210.08	0.40	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
828.10	38573.60		208.23	1.98	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
828.44	38621.80		204.79	0.46	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
828.78	38670.80		204.46	0.74	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
829.16	38723.40		206.54	0.31	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
829.76	38812.60		206.09	0.26	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
830.20	38874.70		205.65	0.02	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
830.79	38955.60		205.99	1.31	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
830.93	38976.80		202.34	1.42	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
831.44	39053.60		204.28	0.68	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
831.92	39120.50		207.32	0.20	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
832.89	39265.70		208.69	1.70	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
833.17	39303.20		209.50	0.47	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
833.30	39319.90		209.33	0.48	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
833.44	39339.80		207.87	0.79	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
833.72	39379.40		204.78	1.06	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
833.89	39402.90		191.53	0.90	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
834.25	39454.40		198.14	1.03	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
834.66	39515.40		200.40	1.36	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
835.38	39621.00		195.70	2.08	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
835.98	39709.20		196.67	1.06	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
836.31	39757.10		193.58	1.16	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
837.21	39885.00		193.87	0.20	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
837.33	39900.50		197.55	0.67	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
837.99	40042.70		192.60	2.21	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
838.28	40112.10		193.08	0.44	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
838.39	40145.30		193.69	0.42	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
839.10	40353.10		193.35	0.43	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
839.75	40540.30		193.84	0.13	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
841.28	40935.10		194.84	1.13	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
841.43	40953.80		194.49	0.90	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
850.69	42386.80		199.15	1.46	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
857.37	43762.50		196.82	0.69	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
861.59	44611.20		204.39	0.69	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
864.44	45230.00		210.42	2.17	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
869.48	46322.70		213.81	0.44	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
870.59	46564.50		210.14	1.41	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
871.60	46782.90		210.31	2.27	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
874.15	47330.30		203.17	0.34	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
877.50	48051.70		198.02	2.08	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
880.59	48720.30		198.40	0.34	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
