depth_m	age_gas_calBP	age_gas_calBPerr	co2_ppm	co2_1s_ppm	notes
511.34	8065.35	0.85	263.98	0.70	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
511.46	8070.00	1.90	261.15	0.10	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
511.84	8084.25	1.35	265.00	0.50	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
512.75	8123.25	1.45	262.53	0.24	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
512.98	8134.20	2.50	265.26	0.30	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.10	8140.60	1.90	266.48	0.31	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.28	8149.35	3.25	265.35	0.20	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.45	8158.00	3.80	264.42	0.26	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.69	8170.40	0.90	264.35	0.63	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.75	8173.60	0.80	262.07	1.02	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
514.17	8194.70	0.50	264.80	0.32	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
514.34	8203.65	2.25	266.10	0.48	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
514.73	8223.15	1.05	263.55	0.12	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
515.09	8241.50	1.00	263.11	0.79	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
515.35	8254.55	3.15	264.10	0.78	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
515.46	8259.90	2.00	264.08	0.64	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
515.82	8274.75	2.45	264.81	0.75	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
516.24	8290.85	0.75	262.27	0.03	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
516.50	8300.50	0.40	263.97	0.17	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
516.59	8303.85	0.35	262.50	0.50	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
516.69	8307.50	1.90	262.38	0.06	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
516.79	8311.15	2.05	263.80	0.80	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
517.25	8327.00	1.50	263.47	0.97	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
517.62	8337.95	0.35	263.31	1.05	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
517.92	8346.90	2.10	261.93	0.41	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
518.65	8369.00	1.20	261.88	0.76	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
518.84	8374.60	2.00	261.78	0.40	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
519.83	8404.55	0.75	264.47	0.23	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
520.38	8421.50	1.50	263.85	0.04	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
520.67	8430.25	0.75	263.25	1.04	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
520.94	8438.70	1.20	264.96	0.77	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
521.33	8450.65	0.75	265.48	0.60	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
